Address_ID,Street_Address,City,State,Postal_Code,Country,Region_ID
1,"H.No. 433, Chaudry Street",Ahmedabad,Maharashtra,960013,India,1
2,"90/83, Saini Circle",Ahmedabad,Karnataka,794026,India,2
3,"H.No. 23
Chaudry Path",Delhi,Delhi,615594,India,1
4,"78/161, Memon Circle",Ahmedabad,Gujarat,931034,India,5
5,"164, Patla Chowk",Mumbai,West Bengal,553419,India,4
6,"32/76, Kanda Road",Mumbai,Maharashtra,030564,India,1
7,"953, Randhawa Chowk",Delhi,Delhi,242388,India,5
8,"96/965
Devi Ganj",Kolkata,Maharashtra,101226,India,5
9,"69, Wadhwa Chowk",Delhi,Gujarat,801845,India,5
10,"H.No. 62, Aggarwal Chowk",Chennai,Delhi,828148,India,4
11,"528, Acharya Circle",Kolkata,Karnataka,701543,India,1
12,"911, Biswas Chowk",Jaipur,Rajasthan,278248,India,2
13,"834
Prakash Marg",Ahmedabad,Tamil Nadu,871331,India,3
14,"H.No. 983
Kannan",Bangalore,Delhi,103105,India,2
15,"34/73, Deo Circle",Jaipur,Karnataka,376311,India,1
16,"H.No. 66
Bhagat Chowk",Mumbai,Tamil Nadu,065133,India,1
17,"72/62, Shere Road",Bangalore,Rajasthan,178108,India,3
18,"H.No. 326, Srivastava Chowk",Kolkata,Karnataka,602606,India,1
19,"46
Sur Circle",Ahmedabad,Tamil Nadu,343098,India,5
20,"50/097, Wali Circle",Mumbai,Tamil Nadu,081219,India,1
21,"36/193, Baral",Kolkata,Karnataka,699854,India,5
22,"53/462, Shankar Road",Jaipur,Karnataka,107991,India,5
23,"38/42, Biswas Path",Delhi,Gujarat,542784,India,1
24,"84/124, Chhabra Zila",Mumbai,Gujarat,449353,India,2
25,"74/01
Malhotra Marg",Jaipur,Karnataka,052427,India,1
26,"01/12
Banik Circle",Jaipur,Delhi,982620,India,1
27,"H.No. 05
Krish Ganj",Chennai,Karnataka,586923,India,4
28,"602, Sabharwal Path",Ahmedabad,Rajasthan,421607,India,3
29,"754, Kapoor Ganj",Delhi,Karnataka,365414,India,3
30,"86/850
Lal Zila",Delhi,Gujarat,940196,India,3
31,"56/981
Gupta Marg",Ahmedabad,Gujarat,060883,India,1
32,"15
Murthy",Kolkata,Gujarat,484656,India,2
33,"23/66
Mitra Street",Kolkata,Gujarat,804436,India,2
34,"77
Vaidya Ganj",Delhi,Tamil Nadu,214895,India,4
35,"433, Bakshi Street",Bangalore,Gujarat,379176,India,5
36,"67/632, Chhabra Nagar",Delhi,Gujarat,328708,India,3
37,"H.No. 727, Nadig Circle",Jaipur,Rajasthan,986872,India,1
38,"43
Verma Road",Delhi,Rajasthan,347143,India,1
39,"H.No. 58
Devi Zila",Jaipur,Karnataka,362316,India,4
40,"H.No. 87
Bhatia Marg",Bangalore,Maharashtra,669096,India,2
41,"H.No. 546
Yohannan Marg",Kolkata,Gujarat,734670,India,3
42,"H.No. 62
Datta Chowk",Delhi,Gujarat,699016,India,4
43,"20, Raghavan Road",Chennai,Gujarat,375564,India,4
44,"H.No. 17
Zacharia Nagar",Delhi,Karnataka,531003,India,2
45,"H.No. 923, Solanki Street",Delhi,Gujarat,937452,India,5
46,"419, Muni Nagar",Kolkata,Karnataka,631931,India,5
47,"91/905
Sangha Circle",Chennai,West Bengal,185067,India,4
48,"57, Saran Street",Bangalore,Delhi,849877,India,2
49,"94/531
Seshadri Road",Kolkata,Tamil Nadu,799650,India,1
50,"H.No. 27
Pant Ganj",Jaipur,Maharashtra,549480,India,1
51,"H.No. 367, Khosla Circle",Delhi,Gujarat,770143,India,2
52,"34/957
Wali Circle",Jaipur,Gujarat,685574,India,4
53,"H.No. 31
Mutti Ganj",Kolkata,Maharashtra,823374,India,4
54,"H.No. 343
Gola Path",Chennai,West Bengal,082400,India,4
55,"27/109
Singh Road",Kolkata,Karnataka,752047,India,5
56,"H.No. 671, Bera",Jaipur,Maharashtra,294131,India,1
57,"99/38
Seshadri Marg",Ahmedabad,West Bengal,496499,India,3
58,"13/34, Dugar Zila",Jaipur,Gujarat,281206,India,3
59,"97/403
Mandal Road",Mumbai,Karnataka,134936,India,4
60,"32/42, Bhasin Zila",Delhi,Tamil Nadu,499471,India,1
61,"46/488
Sarma Chowk",Ahmedabad,Gujarat,906594,India,3
62,"H.No. 399, Luthra Nagar",Kolkata,Rajasthan,278742,India,2
63,"71/756
Nagi Path",Kolkata,Maharashtra,256746,India,3
64,"15, Naik Road",Jaipur,Gujarat,680876,India,5
65,"859, Sathe Chowk",Kolkata,Delhi,348247,India,2
